order_id,date,customer,region,product,category,quantity,unit_price,total,status
PB-100001,2025-08-27,Prairie Wind Farms,Alberta,Data Migration,Services,9,2400.0,21600.0,Paid
PB-100002,2025-11-11,Harbourfront Textiles,Quebec,Data Migration,Services,11,2400.0,26400.0,Pending
PB-100003,2025-02-16,Silverline Freight,Ontario,Label Printer,Hardware,3,185.5,556.5,Refunded
PB-100004,2025-12-01,Birchwood Interiors,British Columbia,API Add-on,Software,8,99.0,792.0,Refunded
PB-100005,2025-02-02,Northwind Logistics,Ontario,Workflow Platform License,Software,9,1200.0,10800.0,Paid
PB-100006,2025-01-16,Prairie Wind Farms,Illinois,Warehouse Scanner,Hardware,10,320.0,3200.0,Pending
PB-100007,2025-04-30,Kingston Print Works,New York,Warehouse Scanner,Hardware,9,320.0,2880.0,Pending
PB-100008,2025-02-13,Prairie Wind Farms,New York,Workflow Platform License,Software,11,1200.0,13200.0,Pending
PB-100009,2025-05-11,Granite Peak Tools,Alberta,Implementation Day,Services,12,1800.0,21600.0,Refunded
PB-100010,2025-02-05,Summit Auto Parts,Quebec,Label Printer,Hardware,1,185.5,185.5,Pending
PB-100011,2025-07-17,Maple Ridge Distribution,Ontario,Implementation Day,Services,5,1800.0,9000.0,Paid
PB-100012,2025-01-27,Prairie Wind Farms,Texas,Warehouse Scanner,Hardware,4,320.0,1280.0,Pending
PB-100013,2025-10-17,Kingston Print Works,Alberta,API Add-on,Software,2,99.0,198.0,Paid
PB-100014,2025-06-09,Granite Peak Tools,Ontario,Training Seat,Services,2,275.0,550.0,Pending
PB-100015,2025-05-07,Birchwood Interiors,Quebec,Implementation Day,Services,3,1800.0,5400.0,Paid
PB-100016,2025-09-07,Harbourfront Textiles,Alberta,Workflow Platform License,Software,8,1200.0,9600.0,Pending
PB-100017,2025-03-09,Lakeshore Medical Supply,Texas,Warehouse Scanner,Hardware,12,320.0,3840.0,Paid
PB-100018,2025-04-19,Northwind Logistics,New York,API Add-on,Software,7,99.0,693.0,Refunded
PB-100019,2025-04-18,Harbourfront Textiles,Texas,Label Printer,Hardware,1,185.5,185.5,Refunded
PB-100020,2025-03-16,Cedar & Co. Furniture,Manitoba,Implementation Day,Services,1,1800.0,1800.0,Paid
PB-100021,2025-06-18,Blue Heron Foods,Texas,Workflow Platform License,Software,10,1200.0,12000.0,Paid
PB-100022,2025-04-17,Summit Auto Parts,Alberta,Implementation Day,Services,2,1800.0,3600.0,Paid
PB-100023,2025-11-15,Prairie Wind Farms,British Columbia,Training Seat,Services,6,275.0,1650.0,Refunded
