order_id,date,customer,region,product,category,quantity,unit_price,total,status
PB-100001,2025-08-27,Prairie Wind Farms,Alberta,Data Migration,Services,9,2400.0,21600.0,Paid
PB-100002,2025-11-11,Harbourfront Textiles,Quebec,Data Migration,Services,11,2400.0,26400.0,Pending
PB-100003,2025-02-16,Silverline Freight,Ontario,Label Printer,Hardware,3,185.5,556.5,Refunded
PB-100004,2025-12-01,Birchwood Interiors,British Columbia,API Add-on,Software,8,99.0,792.0,Refunded
PB-100005,2025-02-02,Northwind Logistics,Ontario,Workflow Platform License,Software,9,1200.0,10800.0,Paid
PB-100006,2025-01-16,Prairie Wind Farms,Illinois,Warehouse Scanner,Hardware,10,320.0,3200.0,Pending
PB-100007,2025-04-30,Kingston Print Works,New York,Warehouse Scanner,Hardware,9,320.0,2880.0,Pending
PB-100008,2025-02-13,Prairie Wind Farms,New York,Workflow Platform License,Software,11,1200.0,13200.0,Pending
PB-100009,2025-05-11,Granite Peak Tools,Alberta,Implementation Day,Services,12,1800.0,21600.0,Refunded
PB-100010,2025-02-05,Summit Auto Parts,Quebec,Label Printer,Hardware,1,185.5,185.5,Pending
